,Source airport,Destination airport,Stops
578,SKD,DME,0
579,TIV,DME,0
580,ANU,PTP,0
581,CAY,FDF,0
582,CUR,SDQ,0
583,DOM,PTP,0
584,DOM,SXM,0
585,FDF,CAY,0
586,FDF,PTP,0
587,FDF,SDQ,0
588,FDF,SLU,0
589,PTP,ANU,0
590,PTP,DOM,0
591,PTP,FDF,0
592,PTP,SBH,0
593,PTP,SDQ,0
594,PTP,SFG,0
595,PTP,SXM,0
596,SBH,PTP,0
597,SDQ,PTP,0
598,SDQ,SXM,0
599,SFG,PTP,0
600,SLU,FDF,0
601,SXM,DOM,0
602,SXM,PTP,0
603,SXM,SDQ,0
604,BHY,XIY,0
605,CAN,CKG,0
606,CAN,CTU,0
607,CAN,SPN,0
608,CGO,CGQ,0
609,CGO,CKG,0
610,CGO,CTU,0
611,CGO,HGH,0
612,CGO,HRB,0
613,CGO,KMG,0
614,CGO,URC,0
615,CGQ,CGO,0
616,CGQ,NKG,0
617,CGQ,TNA,0
618,CGQ,TSN,0
619,CKG,CAN,0
620,CKG,CGO,0
621,CKG,CSX,0
622,CKG,CTU,0
623,CKG,CZX,0
624,CKG,DLC,0
625,CKG,DYG,0
626,CKG,HAK,0
627,CKG,HGH,0
628,CKG,HKT,0
629,CKG,INC,0
630,CKG,KHN,0
631,CKG,KMG,0
632,CKG,LHW,0
633,CKG,LJG,0
634,CKG,LXA,0
635,CKG,NGB,0
636,CKG,NKG,0
637,CKG,NNG,0
638,CKG,PEK,0
639,CKG,PVG,0
640,CKG,PZI,0
641,CKG,SWA,0
642,CKG,SYD,0
643,CKG,SYX,0
644,CKG,SZX,0
645,CKG,TNA,0
646,CKG,TSA,0
647,CKG,TSN,0
648,CKG,TYN,0
649,CKG,URC,0
650,CKG,WUH,0
651,CKG,WUX,0
652,CKG,XIY,0
653,CKG,XNN,0
654,CKG,YIH,0
655,CKG,ZHA,0
656,CSX,CKG,0
657,CSX,CTU,0
658,CSX,FOC,0
659,CSX,KMG,0
660,CSX,SHE,0
661,CSX,WNZ,0
662,CSX,XMN,0
663,CTU,CAN,0
664,CTU,CGO,0
665,CTU,CKG,0
666,CTU,CSX,0
667,CTU,DCY,0
668,CTU,DSN,0
669,CTU,HAK,0
670,CTU,HDG,0
671,CTU,HET,0
672,CTU,HFE,0
673,CTU,HGH,0
674,CTU,HKG,0
675,CTU,HKT,0
676,CTU,ICN,0
677,CTU,INC,0
678,CTU,JHG,0
679,CTU,JIQ,0
680,CTU,JZH,0
681,CTU,KHN,0
682,CTU,KMG,0
683,CTU,KOW,0
684,CTU,KWE,0
685,CTU,LHW,0
686,CTU,LJG,0
687,CTU,LUM,0
688,CTU,LXA,0
689,CTU,LZY,0
690,CTU,MEL,0
691,CTU,NKG,0
692,CTU,NNG,0
693,CTU,PEK,0
694,CTU,PVG,0
695,CTU,PZI,0
696,CTU,SHE,0
697,CTU,SJW,0
698,CTU,SYX,0
699,CTU,SZX,0
700,CTU,TAO,0
701,CTU,TNA,0
702,CTU,TSA,0
703,CTU,TSN,0
704,CTU,TYN,0
705,CTU,URC,0
706,CTU,WNZ,0
707,CTU,WUH,0
708,CTU,WUX,0
709,CTU,WXN,0
710,CTU,XIC,0
711,CTU,XIY,0
712,CTU,XMN,0
713,CTU,XNN,0
714,CTU,XUZ,0
715,CTU,YIH,0
716,CTU,YTY,0
717,CZX,CKG,0
718,CZX,HRB,0
719,CZX,XMN,0
720,CZX,ZUH,0
721,DAT,TYN,0
722,DCY,CTU,0
723,DLC,CKG,0
724,DLC,HGH,0
725,DLC,HRB,0
726,DLC,TNA,0
727,DLC,XUZ,0
728,DNH,LHW,0
729,DSN,CTU,0
730,DSN,SHE,0
731,DYG,CKG,0
732,DYG,NKG,0
733,FOC,CSX,0
734,FOC,XIY,0
735,GXH,LXA,0
736,GXH,XIY,0
737,HAK,CKG,0
738,HAK,CTU,0
739,HAK,HGH,0
740,HAK,NGB,0
741,HAK,ZUH,0
742,HDG,CTU,0
743,HET,CTU,0
744,HFE,CTU,0
745,HGH,CGO,0
746,HGH,CKG,0
747,HGH,CTU,0
748,HGH,DLC,0
749,HGH,HAK,0
750,HGH,KWE,0
751,HGH,TSN,0
752,HGH,TYN,0
753,HKG,CTU,0
754,HKG,YIH,0
755,HKG,ZHA,0
756,HKT,CKG,0
757,HKT,CTU,0
758,HRB,CGO,0
759,HRB,CZX,0
760,HRB,DLC,0
761,HRB,INC,0
762,HRB,NGB,0
763,HRB,NKG,0
764,HRB,NZH,0
765,HRB,SJW,0
766,HRB,TNA,0
767,HRB,TSN,0
768,HRB,WNZ,0
769,HRB,WUH,0
770,HRB,XIY,0
771,HRB,XUZ,0
772,ICN,CTU,0
773,INC,CKG,0
774,INC,CTU,0
775,INC,HRB,0
776,INC,KWL,0
777,JGN,LHW,0
778,JHG,CTU,0
779,JHG,KMG,0
780,JIQ,CTU,0
781,JJN,KWE,0
782,JJN,WUH,0
783,JZH,CTU,0
784,KHG,URC,0
785,KHN,CKG,0
786,KHN,CTU,0
787,KHN,KMG,0
788,KHN,NGB,0
789,KMG,CGO,0
790,KMG,CKG,0
791,KMG,CSX,0
792,KMG,CTU,0
793,KMG,JHG,0
794,KMG,KHN,0
795,KMG,KWE,0
796,KMG,LUM,0
797,KMG,NGB,0
798,KMG,NKG,0
799,KMG,TAO,0
800,KMG,TNA,0
801,KMG,TPE,0
802,KMG,WXN,0
803,KMG,XIY,0
804,KMG,XMN,0
805,KMG,XUZ,0
806,KOW,CTU,0
807,KOW,XMN,0
808,KWE,CTU,0
809,KWE,HGH,0
810,KWE,JJN,0
811,KWE,KMG,0
812,KWE,LHW,0
813,KWE,SYX,0
814,KWE,WNZ,0
815,KWE,XUZ,0
816,KWL,INC,0
817,KWL,SJW,0
818,KWL,SYX,0
819,LHW,CKG,0
820,LHW,CTU,0
821,LHW,DNH,0
822,LHW,JGN,0
823,LHW,KWE,0
824,LHW,TSN,0
825,LJG,CKG,0
826,LJG,CTU,0
827,LJG,MIG,0
828,LUM,CTU,0
829,LUM,KMG,0
830,LXA,CKG,0
831,LXA,CTU,0
832,LXA,GXH,0
833,LXA,XIY,0
834,LXA,XNN,0
835,LYI,XIY,0
836,LZY,CTU,0
837,MEL,CTU,0
838,MIG,LJG,0
839,MIG,NKG,0
840,MIG,SYX,0
841,MIG,XNN,0
842,NGB,CKG,0
843,NGB,HAK,0
844,NGB,HRB,0
845,NGB,KHN,0
846,NGB,KMG,0
847,NGB,SHE,0
848,NGB,SYX,0
849,NKG,CGQ,0
850,NKG,CKG,0
851,NKG,CTU,0
852,NKG,DYG,0
853,NKG,HRB,0
854,NKG,KMG,0
855,NKG,MIG,0
856,NKG,SYX,0
857,NNG,CKG,0
858,NNG,CTU,0
859,NNG,SGN,0
860,NNG,WUH,0
861,NTG,WUH,0
862,NZH,HRB,0
863,PEK,CKG,0
864,PEK,CTU,0
865,PEK,WXN,0
866,PEK,ZHY,0
867,PVG,CKG,0
868,PVG,CTU,0
869,PVG,SPN,0
870,PZI,CKG,0
871,PZI,CTU,0
872,SGN,NNG,0
873,SHE,CSX,0
874,SHE,CTU,0
875,SHE,DSN,0
876,SHE,NGB,0
877,SHE,TYN,0
878,SHE,XUZ,0
879,SHE,YVR,0
880,SJW,CTU,0
881,SJW,HRB,0
882,SJW,KWL,0
883,SPN,CAN,0
884,SPN,PVG,0
885,SWA,CKG,0
886,SYD,CKG,0
887,SYX,CKG,0
888,SYX,CTU,0
889,SYX,KWE,0
890,SYX,KWL,0
891,SYX,MIG,0
892,SYX,NGB,0
893,SYX,NKG,0
894,SYX,TNA,0
895,SYX,WNZ,0
896,SYX,YBP,0
897,SZX,CKG,0
898,SZX,CTU,0
899,SZX,WXN,0
900,TAO,CTU,0
901,TAO,KMG,0
902,TNA,CGQ,0
903,TNA,CKG,0
904,TNA,CTU,0
905,TNA,DLC,0
906,TNA,HRB,0
907,TNA,KMG,0
908,TNA,SYX,0
909,TNA,XIY,0
910,TPE,KMG,0
911,TSA,CKG,0
912,TSA,CTU,0
913,TSN,CGQ,0
914,TSN,CKG,0
915,TSN,CTU,0
916,TSN,HGH,0
917,TSN,HRB,0
918,TSN,LHW,0
919,TVS,TYN,0
920,TYN,CKG,0
921,TYN,CTU,0
922,TYN,DAT,0
923,TYN,HGH,0
924,TYN,SHE,0
925,TYN,TVS,0
926,URC,CGO,0
927,URC,CKG,0
928,URC,CTU,0
929,URC,KHG,0
930,URC,XIY,0
931,UYN,XIY,0
932,WNZ,CSX,0
933,WNZ,CTU,0
934,WNZ,HRB,0
935,WNZ,KWE,0
936,WNZ,SYX,0
937,WUH,CKG,0
938,WUH,CTU,0
939,WUH,HRB,0
940,WUH,JJN,0
941,WUH,NNG,0
942,WUH,NTG,0
943,WUX,CKG,0
944,WUX,CTU,0
945,WXN,CTU,0
946,WXN,KMG,0
947,WXN,PEK,0
948,WXN,SZX,0
949,XIC,CTU,0
950,XIY,BHY,0
951,XIY,CKG,0
952,XIY,CTU,0
953,XIY,FOC,0
954,XIY,GXH,0
955,XIY,HRB,0
956,XIY,KMG,0
957,XIY,LXA,0
958,XIY,LYI,0
959,XIY,TNA,0
960,XIY,URC,0
961,XIY,UYN,0
962,XIY,XMN,0
963,XIY,XNN,0
964,XIY,YBP,0
965,XMN,CSX,0
966,XMN,CTU,0
967,XMN,CZX,0
968,XMN,KMG,0
969,XMN,KOW,0
970,XMN,XIY,0
971,XNN,CKG,0
972,XNN,CTU,0
973,XNN,LXA,0
974,XNN,MIG,0
975,XNN,XIY,0
976,XNN,ZHY,0
977,XUZ,CTU,0
978,XUZ,DLC,0
979,XUZ,HRB,0
980,XUZ,KMG,0
